symbol,model,date,exit_date,entry,stop,exit,qty,value,cost,exit_reason,hold_days,r_multiple,pnl,pct
GODFRYPHLP,trend_lowbeta,2025-08-11,2025-11-04,3203.764662863644,2748.297985185023,2990.5614663684078,19,60871.52859440923,152.17882148602308,stop,57,-0.4680983416434984,-4203.03955489551,-0.06904770837776432
FORTIS,trend_lowbeta,2025-10-09,2025-11-06,1060.8745412433695,1005.5258572167758,1009.6685731503611,171,181409.5465526162,453.52386638154053,stop,18,-0.9251524041367475,-9209.744410285983,-0.05076769434300294
NH,trend_lowbeta,2025-08-11,2025-11-10,1770.3761449712115,1603.863098577151,1808.2921142578125,54,95600.31182844542,239.00077957111355,time,60,0.22770569698707693,1808.4615619053411,0.018916900241399023
FORTIS,trend_lowbeta,2025-11-10,2025-11-14,997.9413400151027,929.3807885862162,929.3807885862162,141,140709.72894212947,351.7743223553237,stop,4,-1.0,-10018.812073828316,-0.07120198545723028
ANANDRATHI,trend_lowbeta,2025-10-01,2025-11-19,1444.412831135209,1332.0680344585812,1461.6238615232637,79,114108.6136596815,285.2715341492038,stop,32,0.1531982868560864,1074.3998665071194,0.009415589516418268
ASTERDM,trend_lowbeta,2025-10-16,2025-11-21,696.300018689416,645.3979769424463,648.5342795358312,190,132297.00355098903,330.7425088774726,stop,24,-0.9383855247108722,-9406.23294805859,-0.07109936503159954
REDINGTON,trend_lowbeta,2025-10-24,2025-12-08,259.40300978964035,234.17948628098935,256.2537466136976,388,100648.36779838045,251.62091949595114,stop,30,-0.12485421296761422,-1473.5350317617324,-0.014640426506602954
ASTERDM,trend_lowbeta,2025-11-24,2025-12-08,664.9374455169972,617.2884929707982,617.2884929707982,199,132322.55165788243,330.8063791447061,stop,10,-1.0,-9812.947935838303,-0.0741593009875558
ECLERX,trend_lowbeta,2025-09-24,2025-12-22,2039.2195307346603,1835.7105900361746,2328.109130859375,44,89725.65935232505,224.31414838081264,time,60,1.4195425475322334,12486.828257106632,0.13916674836653695
ANURAS,trend_lowbeta,2025-10-01,2025-12-30,1072.0,989.975924312835,1314.199951171875,109,116848.0,292.12,time,60,2.9527909841448423,26107.674677734376,0.22343279027227148
TATAINVEST,trend_lowbeta,2025-10-31,2026-01-09,793.9055692076533,664.0290796655754,664.0290796655754,75,59542.917690574,148.85729422643502,stop,48,-1.0,-9889.59400988228,-0.16609186102158144
POWERINDIA,trend_lowbeta,2025-12-08,2026-01-12,19040.454303385417,17031.34520488553,17031.34520488553,4,76161.81721354167,190.40454303385417,stop,24,-1.0,-8226.840937033407,-0.10801791813825923
ASTERDM,trend_lowbeta,2025-12-08,2026-01-19,614.3092043697333,571.896673737867,571.896673737867,221,135762.33416571104,339.4058354142776,stop,28,-1.0,-9712.575105056725,-0.07154101441126955
ANURAS,trend_lowbeta,2025-12-30,2026-01-20,1314.199951171875,1230.3250723389785,1237.3752184620698,116,152447.1943359375,381.11798583984375,stop,14,-0.9159444851522557,-9292.786980177245,-0.06095741558679895
JKCEMENT,trend_lowbeta,2025-11-10,2026-01-27,5618.089667574697,5177.608829183317,5375.225407731643,22,123597.97268664333,308.99493171660833,stop,53,-0.5513616908512647,-5652.008648263802,-0.04572897536590896
ANANDRATHI,trend_lowbeta,2025-11-24,2026-01-27,1427.2000701456366,1317.2817467098816,1422.7113643391467,86,122739.20603252474,306.84801508131187,stop,43,-0.04083673828152428,-692.8767144394399,-0.005645113218801774
PTCIL,trend_lowbeta,2025-12-22,2026-01-27,17786.0,16295.24907041454,17088.948698580356,6,106716.0,266.79,stop,23,-0.4675840125845009,-4449.097808517864,-0.041691009862793435
MUTHOOTFIN,trend_lowbeta,2025-11-17,2026-02-02,3649.244046808135,3491.692983845794,3450.8216111167512,52,189760.690434023,474.40172608505753,stop,52,-1.2594166739377204,-10792.368382037012,-0.056873572484124994
ANURAS,trend_lowbeta,2026-01-21,2026-02-16,1227.0,1129.5396981201388,1240.1555285400693,96,117792.0,294.48,stop,17,0.13498345773939918,968.4507398466553,0.008221702151645742
MUTHOOTFIN,trend_lowbeta,2026-02-05,2026-02-16,3519.243178618443,3177.388126259364,3512.83341582561,26,91500.32264407951,228.7508066101988,stop,7,-0.018749943137012427,-395.4046392238603,-0.0043213469395284665
NAVINFLUOR,trend_lowbeta,2026-01-21,2026-03-02,5779.0471788194445,5291.541259771042,5937.327197273209,19,109801.89639756945,274.50474099392363,stop,27,0.32467301886861716,2732.8156096276034,0.024888601192575546
AUBANK,trend_lowbeta,2026-01-29,2026-03-02,967.310615659496,918.4667846893489,894.181601028957,190,183789.01697530423,459.4725424382606,stop,22,-1.4972006326701683,-14353.985322240675,-0.07810034330924912
ANURAS,trend_lowbeta,2026-02-19,2026-03-02,1329.0999755859375,1215.6445002599971,1181.0,81,107657.09802246094,269.14274505615236,stop,7,-1.3053576758677246,-12265.24076751709,-0.11392877007476222
CUB,trend_lowbeta,2026-01-13,2026-03-04,204.33566764293485,186.4704035028941,196.91203170092672,537,109728.25352425601,274.32063381064006,stop,33,-0.4155346309920946,-4260.813134669007,-0.038830592831108277
CANBK,trend_lowbeta,2026-02-05,2026-03-09,143.2737263763778,131.61327489367704,135.6744039543906,788,112899.6963845857,282.24924096146424,stop,21,-0.6517176829097405,-6270.515309487364,-0.05554058611572567
AUBANK,trend_lowbeta,2026-03-06,2026-03-13,942.4847551523957,888.419985392138,888.419985392138,164,154567.49984499288,386.4187496124822,stop,5,-1.0,-9253.040990294747,-0.059864078797768644
CUB,trend_lowbeta,2026-03-06,2026-03-13,188.73185522868656,173.20498272497298,173.20498272497298,574,108332.08490126608,270.8302122531652,stop,5,-1.0,-9183.255029384758,-0.08476948484610429
ANANDRATHI,trend_lowbeta,2026-01-29,2026-04-30,1449.5063744722472,1342.9583927679887,1797.274169921875,87,126107.05457908551,315.26763644771376,time,60,3.263954791888171,29940.530567669906,0.2374215357547131
POWERINDIA,trend_lowbeta,2026-02-05,2026-05-08,20895.011078811556,17223.492995602024,33996.8828125,2,41790.02215762311,104.47505539405779,time,60,3.5685161932350273,26099.26841198283,0.6245334906390314
CCL,trend_lowbeta,2026-03-13,2026-05-11,1025.1439479547344,924.2049163956514,1070.668865375787,85,87137.23557615242,217.84308894038105,stop,36,0.45101401031775623,3651.774891849088,0.04190831700941061
POWERINDIA,trend_lowbeta,2026-05-08,2026-05-15,33626.970369520364,31226.25239648539,31226.25239648539,3,100880.9111085611,252.20227777140275,stop,5,-1.0,-7454.356196876326,-0.07389263355140063
NETWEB,trend_lowbeta,2026-03-06,2026-05-20,3098.0688205676665,2688.0045267219193,3674.2418354575616,21,65059.445231920996,162.6486130798025,stop,48,1.4050796997863768,11936.984699607994,0.1834781200032611
