symbol,model,date,exit_date,entry,stop,exit,qty,value,cost,exit_reason,hold_days,r_multiple,pnl,pct
WIPRO,momentum,2025-02-20,2025-02-24,295.66862998951336,285.09749615009133,285.09749615009133,558,164983.09553414845,412.4577388353711,stop,2,-1.0,-6311.150421232865,-0.0382533155945457
J&KBANK,reversal,2025-02-20,2025-03-03,97.97074563517576,88.85865668231956,88.85865668231956,906,88761.49554546924,221.9037388636731,stop,6,-1.0,-8477.456330151388,-0.09550826378098486
SBICARD,momentum,2025-02-13,2025-03-04,855.4383137783988,813.8346299077781,813.8346299077781,199,170232.22444190134,425.5805611047534,stop,12,-1.0,-8704.713651358266,-0.05113434709495383
ACUTAAS,momentum,2025-03-07,2025-03-11,1221.3065464550739,1122.7579976412353,1122.7579976412353,80,97704.5237164059,244.26130929101478,stop,2,-1.0,-8128.145214398101,-0.0831910837413281
KOTAKBANK,momentum,2025-02-28,2025-03-19,380.015027010229,367.7685720536207,406.6782142283784,426,161886.40150635756,404.7160037658939,target,12,2.1772167792738797,10953.80175116575,0.06766350755369391
SRF,momentum,2025-02-20,2025-03-21,2781.9104113078693,2657.152984739772,3031.425264444064,59,164132.7142671643,410.33178566791076,target,19,2.0,14311.044549367574,0.08719190816568725
SHREECEM,momentum,2025-02-28,2025-03-24,27083.48231070923,26037.778147949142,29174.890636229407,5,135417.41155354615,338.54352888386535,target,15,2.0,10118.498098717018,0.07472080571201885
SARDAEN,momentum,2025-03-17,2025-03-25,534.4529418945312,497.6444597336457,497.6444597336457,213,113838.47662353516,284.5961915588379,stop,6,-1.0,-8124.8028918274595,-0.07137132481749782
CARTRADE,momentum,2025-03-24,2025-03-26,1785.0,1646.5587943139512,1646.5587943139512,59,105315.0,263.2875,stop,2,-1.0,-8431.318635476877,-0.08005809842355673
LAURUSLABS,momentum,2025-03-24,2025-04-04,624.707603943206,590.3512907946528,590.3512907946528,238,148680.40973848302,371.7010243462076,stop,8,-1.0,-8548.503553701876,-0.05749582993978838
ACUTAAS,momentum,2025-03-24,2025-04-04,1245.7316478183538,1152.0371684796446,1152.0371684796446,87,108378.65336019678,270.946633400492,stop,8,-1.0,-8422.366335868197,-0.07771240991412245
SBICARD,momentum,2025-03-07,2025-04-07,831.8856397496817,799.1333420397726,760.8345327155733,190,158058.27155243952,395.1456788810988,stop,19,-2.169347252013167,-13894.856015361682,-0.08790970493911633
BAJAJFINSV,momentum,2025-04-01,2025-04-07,1943.6936774439228,1859.177364460353,1832.5426788155612,82,159382.88155040165,398.45720387600414,stop,4,-1.3151425411798259,-9512.83909140165,-0.05968545052558487
